title,price_gbp,rating,in_stock,category,price_inr
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,1,Sequential Art,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,1,Sequential Art,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,1,Sequential Art,2101.56
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,1,Sequential Art,3077.44
I am a Hero Omnibus Volume 1,54.63,3,1,Sequential Art,5763.46
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,1,Sequential Art,2332.6
Danganronpa Volume 1,51.99,4,1,Sequential Art,5484.95
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,1,Sequential Art,3873.96
Camp Midnight,17.08,4,1,Sequential Art,1801.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,1,Sequential Art,4000.56
The Shadow Hero (The Shadow Hero),33.14,1,1,Sequential Art,3496.27
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,1,Sequential Art,4390.91
Batman: The Long Halloween (Batman),36.5,2,1,Sequential Art,3850.75
Batman: The Dark Knight Returns (Batman),15.38,5,1,Sequential Art,1622.59
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,1,Sequential Art,3939.37
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,1,Sequential Art,5686.45
Through the Woods,25.38,2,1,Sequential Art,2677.59
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,1,Sequential Art,1254.4
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,1,Sequential Art,3737.86
Robin War,47.82,3,1,Sequential Art,5045.01
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,1,Sequential Art,2688.14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,1,Sequential Art,4050.14
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,1,Sequential Art,5434.3
El Deafo,57.62,5,1,Sequential Art,6078.91
Batman: Europa,32.01,2,1,Sequential Art,3377.06
Art Ops Vol. 1,48.8,3,1,Sequential Art,5148.4
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,1,Sequential Art,1149.95
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,1,Sequential Art,3581.73
Roller Girl,14.1,5,1,Sequential Art,1487.55
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,1,Sequential Art,2064.64
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,1,Sequential Art,2211.28
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,1,Sequential Art,3839.14
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,1,Sequential Art,1722.81
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,1,Sequential Art,5529.25
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,1,Sequential Art,2941.34
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,1,Sequential Art,5321.42
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,1,Sequential Art,1520.26
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,1,Sequential Art,5860.52
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,1,Sequential Art,2275.64
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,1,Sequential Art,4602.96
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,1,Sequential Art,4128.22
Original Fake,31.45,3,1,Sequential Art,3317.98
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,1,Sequential Art,4506.96
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,1,Sequential Art,4765.44
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,1,Sequential Art,5202.2
Awkward,38.02,2,1,Sequential Art,4011.11
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,1,Sequential Art,5782.46
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,1,Sequential Art,1239.62
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,1,Sequential Art,1228.02
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,1,Sequential Art,1952.8
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,1,Sequential Art,3852.86
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,1,Sequential Art,5709.66
The Complete Maus (Maus #1-2),10.64,3,1,Sequential Art,1122.52
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,1,Sequential Art,4443.66
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,1,Sequential Art,3004.64
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,1,Sequential Art,4954.28
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,1,Sequential Art,2290.41
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,1,Sequential Art,3151.29
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,1,Sequential Art,4155.65
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,1,Sequential Art,4772.82
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,1,Sequential Art,5988.18
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,1,Sequential Art,4249.54
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,1,Sequential Art,3655.58
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,1,Sequential Art,6019.83
